"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU1107",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
"OTU747",28,28,12,4,0,2,3,2,1,1,6,1,7,5,0,15,8,2,2,4,8,18,60,1,1,5,35,4,3,2,18,6,0,3,0,0
"OTU1105",0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,2,0,1,0,0,1,0,0,0,1,2,4,0,0,0,1,0,0
"OTU1078",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,1,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1103",0,0,1,2,3,0,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU1102",1,0,3,0,2,3,8,1,3,2,2,1,1,0,0,1,2,0,0,0,1,1,1,1,0,5,1,0,3,1,0,2,0,0,0,1
"OTU1101",2,0,3,0,0,1,5,0,1,4,1,3,3,1,0,2,3,0,0,0,1,1,0,0,1,4,0,1,0,2,0,2,0,3,0,0
"OTU746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,3,1,0,3,0,1,3
"OTU767",4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU745",1,5,4,4,4,1,14,3,4,0,1,3,0,4,0,5,10,2,2,2,6,4,3,3,3,4,6,1,4,3,2,2,0,2,0,1
"OTU1109",3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU1108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU1042",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,4,0,2,5,3,2,9
"OTU715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,8,1,0,7,6,10,4,4,2,9
"OTU744",0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,0,0,4,3,1,2,1,2,0,2,0,4,0,1,0,0,7,2,1
"OTU1142",0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU743",2,0,2,1,1,5,11,5,8,6,4,5,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"OTU1139",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,1,1
"OTU999",0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0
