"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU498",6,6,7,10,21,20,15,2,9,13,7,3,3,6,1,3,7,6,15,4,2,1,2,2,12,11,1,9,10,3,10,0,3,11,5,1
"OTU325",20,17,12,5,1,2,3,10,8,8,13,12,13,2,8,18,16,4,1,5,6,19,38,5,8,48,37,3,21,36,22,49,13,32,18,41
"OTU324",9,15,5,9,3,5,2,2,5,9,6,7,30,13,14,33,27,30,10,20,26,23,52,4,1,2,1,3,2,0,3,2,3,2,1,2
"OTU327",27,30,63,42,60,38,116,84,68,206,90,98,101,146,92,61,51,39,50,95,105,58,32,90,43,146,97,25,102,158,55,147,71,78,36,92
"OTU326",19,29,29,10,15,13,35,18,15,23,49,46,11,27,17,10,15,15,13,27,30,27,26,23,8,12,7,4,7,41,15,23,19,26,17,19
"OTU321",22,15,47,27,21,17,30,49,34,33,30,48,10,20,13,13,22,11,6,26,16,15,16,14,6,24,9,8,8,24,21,24,22,17,4,6
"OTU320",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,52,3,17,16,21,0,0,0,0,0,1
"OTU323",12,38,21,14,7,10,41,15,12,26,44,24,18,33,18,16,22,10,9,36,46,23,24,22,4,7,7,3,1,19,22,13,13,6,3,9
"OTU322",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,46,34,13,12,27,14,52,36,10,16,28
"OTU1099",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,4,4,10,3,1,0,1,7,3,0,0,1
"OTU1065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,1,0
"OTU819",1,0,1,0,0,2,5,1,4,6,0,1,1,4,1,0,2,1,3,2,4,0,0,1,1,3,2,1,0,1,2,1,0,2,1,0
"OTU854",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,1,0,3,3,1,0,1,2,4
"OTU818",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU798",2,1,0,0,2,0,0,2,1,1,0,0,2,7,4,3,3,2,3,4,1,3,7,0,0,0,0,0,0,0,0,0,0,0,1,1
"OTU991",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,0,0,0,1,1,0
"OTU408",1,2,1,8,7,1,11,3,7,13,5,7,6,7,3,4,6,1,2,3,6,3,2,6,1,12,8,1,11,21,3,9,5,16,7,10
"OTU409",4,1,1,10,33,62,0,0,1,4,1,1,1,0,0,0,1,8,26,0,0,0,0,2,5,2,1,3,1,0,0,0,3,0,0,0
"OTU962",5,14,13,1,9,5,11,23,7,10,21,13,90,133,104,67,99,47,37,143,125,88,83,36,4,7,2,1,3,5,6,4,5,6,4,7
"OTU1016",0,0,3,0,1,1,3,1,2,0,0,2,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,2
"OTU400",6,9,8,4,2,1,1,0,3,6,8,8,16,17,5,10,13,6,4,19,16,14,15,2,3,6,6,4,6,21,10,17,18,28,14,11
"OTU401",5,16,12,7,6,10,18,12,9,10,20,11,7,30,23,8,18,13,12,20,24,18,16,24,0,2,0,0,3,0,6,0,2,3,1,2
"OTU402",5,10,3,0,0,0,0,0,0,3,4,1,11,5,2,12,5,2,1,10,13,47,37,3,0,1,2,0,3,3,7,3,0,0,1,8
"OTU403",3,1,2,6,3,5,8,5,5,6,7,4,10,17,3,8,14,4,7,19,28,11,7,3,0,2,1,7,2,8,2,10,17,3,7,9
"OTU404",15,2,26,16,13,7,3,0,0,1,0,2,25,4,0,19,29,31,15,1,2,2,0,23,17,35,11,19,12,7,1,3,1,0,0,0
"OTU405",1,0,0,1,0,2,0,0,0,1,1,0,8,4,4,9,8,7,10,3,4,8,4,11,53,41,21,44,24,5,21,13,4,2,10,2
"OTU406",10,9,15,11,2,5,14,27,20,24,14,25,12,10,14,10,18,5,4,11,11,6,6,8,7,25,2,4,7,26,1,26,16,22,10,16
"OTU407",65,27,28,3,4,1,3,3,2,0,3,2,22,2,2,48,2,5,4,2,3,11,27,2,0,5,3,0,0,2,2,0,0,2,0,0
"OTU149",46,61,28,6,1,0,12,11,2,6,43,13,53,34,23,121,33,9,8,15,41,136,144,6,0,5,0,1,0,0,1,0,2,3,1,0
"OTU148",0,2,1,6,16,26,161,42,17,6,1,2,0,3,0,2,2,0,1,2,1,11,1,7,33,62,40,15,144,209,13,34,21,54,30,117
"OTU662",0,0,0,0,0,0,0,0,1,0,2,1,6,23,24,13,16,11,5,6,10,15,8,14,0,0,0,0,0,2,1,0,0,1,0,3
"OTU663",8,6,1,8,5,4,7,7,10,1,13,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU664",3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,1,1,0,1,5,9,1,0,0,1,0,0,0,0,0,0,0,0,0
"OTU665",0,3,0,1,2,1,3,2,1,3,2,1,1,16,5,2,4,0,3,5,3,4,1,6,0,2,0,0,0,2,1,2,0,2,0,1
"OTU666",2,0,2,3,4,10,4,0,3,0,0,0,2,1,1,1,1,1,4,0,0,0,0,10,2,0,1,1,8,1,1,0,0,0,0,0
"OTU667",0,0,0,6,14,11,1,0,2,0,0,0,0,0,0,0,0,1,15,0,0,0,0,13,7,0,0,3,10,16,0,0,0,0,0,0
"OTU141",181,76,171,184,67,53,30,48,120,67,106,144,61,31,123,99,63,62,26,34,34,55,59,44,4,6,12,8,3,9,2,3,7,6,4,7
"OTU140",32,11,36,31,12,14,30,23,30,28,42,67,101,80,49,115,99,30,37,87,83,53,42,70,52,159,39,79,93,330,33,151,257,321,282,379
"OTU143",60,16,86,168,217,73,27,9,29,54,41,41,145,56,8,56,201,161,86,91,193,135,79,41,280,264,183,364,141,37,44,17,15,11,1,4
"OTU142",19,16,17,26,31,27,12,56,54,34,20,30,43,71,162,36,76,110,104,80,76,59,46,60,16,11,13,23,18,5,19,17,26,19,50,26
"OTU145",12,11,34,90,146,95,7,34,76,166,23,85,35,81,41,46,84,124,40,55,76,32,24,120,18,26,7,8,20,4,10,22,26,44,18,6
"OTU144",6,4,17,15,16,4,34,38,16,37,6,10,148,60,24,139,34,11,6,33,28,23,10,38,2,18,3,2,3,14,0,3,2,2,2,16
"OTU147",18,9,29,68,77,57,17,5,9,17,8,13,87,27,22,39,149,147,129,96,70,54,115,82,37,63,122,20,30,3,41,30,17,22,7,3
"OTU146",10,4,27,13,6,12,24,37,28,28,13,27,58,81,85,51,102,41,33,66,89,34,28,75,5,7,3,9,6,9,2,6,11,16,13,16
"OTU390",10,0,24,11,4,8,15,10,8,16,10,24,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"OTU391",16,32,6,4,3,2,2,2,3,3,11,8,2,6,0,3,4,1,0,2,3,7,19,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU392",57,35,36,51,11,12,2,5,11,9,15,18,36,7,7,54,22,20,7,13,16,19,28,5,1,1,7,3,1,0,3,2,5,2,7,2
"OTU393",5,9,18,5,6,6,2,1,3,2,21,6,9,5,1,15,10,3,6,7,6,5,9,4,17,24,34,7,19,8,42,12,8,10,4,5
"OTU394",0,0,0,3,5,21,6,13,7,1,0,0,0,7,17,0,0,3,53,0,0,0,0,54,9,0,1,10,33,1,0,0,0,0,5,3
"OTU395",0,0,0,1,0,8,53,67,12,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4
"OTU396",8,8,18,13,9,29,61,45,34,31,29,22,12,37,35,10,11,12,17,28,16,11,8,32,5,16,8,8,24,56,6,4,19,22,18,25
"OTU397",46,3,41,14,6,1,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,35,36,14,3,6,5,5,2,0,0,0
"OTU398",27,35,27,18,21,12,34,34,37,27,49,43,8,11,16,5,10,5,7,13,10,8,10,16,4,11,10,6,3,17,17,11,16,6,11,8
"OTU399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,37,44,3,15,24,6,17,5,8,2,12
"OTU660",0,1,9,7,7,4,8,5,3,7,5,5,4,0,2,2,1,0,1,1,0,0,0,2,1,7,3,2,5,6,8,4,2,6,0,7
"OTU437",1,2,7,20,62,51,3,1,10,5,2,0,0,6,0,1,0,8,18,2,0,0,1,12,22,6,9,22,46,15,4,1,3,0,3,2
"OTU1055",0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0
"OTU1054",0,0,0,0,1,0,0,0,0,3,0,2,1,3,1,0,1,1,1,1,2,1,0,0,0,4,1,0,0,2,1,0,1,0,0,3
"OTU1057",0,0,0,1,1,1,2,0,0,0,1,2,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1
"OTU436",25,6,9,16,14,5,0,0,0,2,2,1,2,0,1,9,3,5,9,0,1,2,7,3,2,3,3,1,0,0,0,0,0,1,0,1
"OTU1051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1050",2,2,0,3,1,1,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0
"OTU1053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"OTU1052",0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"OTU1194",0,1,0,0,0,0,0,0,1,1,1,2,3,3,2,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
"OTU431",0,0,1,15,11,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"OTU1196",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0
"OTU1197",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0
"OTU1059",1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0
"OTU1058",0,1,0,0,1,1,3,0,3,2,4,0,2,1,0,0,0,1,1,3,0,1,1,1,0,1,0,0,0,4,1,2,1,3,0,2
"OTU960",0,1,4,2,3,0,4,1,1,2,1,0,3,3,0,2,1,0,1,2,0,2,0,1,0,2,1,0,3,0,0,3,1,0,1,0
"OTU430",7,0,31,9,5,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,2,1,0,0,0,0,0,0,0
"OTU242",1,1,1,0,0,0,0,0,1,1,0,0,75,20,10,30,95,40,30,33,44,52,50,14,1,0,0,0,0,0,3,0,0,2,0,0
"OTU243",38,45,20,37,40,28,39,33,64,28,64,23,32,21,28,16,43,29,49,24,14,24,23,24,5,11,9,8,12,15,17,2,1,5,13,18
"OTU240",33,20,42,21,16,8,13,17,15,54,18,25,31,18,10,51,6,2,6,13,4,5,14,11,1,1,3,1,0,1,1,2,0,3,0,1
"OTU241",18,30,36,23,30,41,83,60,52,47,73,51,45,66,53,17,31,35,19,75,87,51,26,52,29,35,23,22,44,54,53,55,74,81,35,56
"OTU246",25,40,46,21,21,22,20,26,25,38,55,63,18,25,10,14,19,10,8,27,35,37,27,21,2,4,2,4,4,14,16,6,17,20,7,8
"OTU247",98,74,67,68,31,17,8,37,43,22,25,38,32,12,19,62,42,33,19,11,21,21,48,12,28,33,65,37,25,30,43,32,18,20,43,50
"OTU244",4,1,6,22,32,94,74,1,1,0,1,0,2,1,2,7,5,13,64,0,0,6,1,115,8,6,3,19,88,109,0,0,0,0,0,0
"OTU245",30,18,54,36,33,50,82,175,74,76,82,132,0,1,1,0,0,3,0,1,0,8,2,3,40,79,50,34,84,373,60,86,100,92,72,162
"OTU248",9,36,5,2,1,0,0,1,3,0,11,4,12,0,1,14,6,3,4,4,10,58,114,1,0,2,1,0,0,0,8,2,0,0,0,1
"OTU249",18,25,3,9,14,4,4,4,5,15,18,16,5,17,5,11,11,13,1,16,25,15,6,8,2,35,19,14,6,0,19,17,46,93,11,4
"OTU718",4,4,1,0,1,0,0,0,0,2,1,4,2,3,0,3,2,0,0,1,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU719",3,1,2,1,4,3,11,3,2,1,7,4,1,7,6,8,3,2,2,5,6,5,2,7,1,3,7,2,0,1,5,0,3,1,0,0
"OTU946",1,1,2,1,0,2,2,4,1,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,4,0,0,2,1,0,1
"OTU780",10,6,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0
"OTU815",0,2,0,0,2,0,2,1,1,0,1,1,2,0,1,2,3,1,1,2,0,1,2,3,0,1,3,1,2,1,6,1,4,0,1,0
"OTU1023",3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0
"OTU967",2,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,3,2,6,0,8,1,3,6,8,3
"OTU433",2,3,5,6,5,3,16,18,8,3,4,11,21,3,11,5,10,13,9,14,12,5,2,4,5,14,5,9,4,23,9,8,10,12,7,18
"OTU786",8,1,8,18,12,3,3,2,3,1,4,5,0,0,3,0,0,1,0,2,0,0,0,2,2,0,3,1,1,2,1,0,1,0,2,0
"OTU72",52,98,43,19,30,20,68,84,37,100,79,59,185,148,101,227,96,45,32,166,225,344,457,60,30,92,175,32,39,64,175,164,74,90,42,90
"OTU73",312,150,174,48,8,15,14,4,30,55,91,138,32,8,10,52,26,13,2,9,12,36,20,7,25,89,111,27,19,27,57,96,65,30,41,64
"OTU70",3,4,2,1,0,1,1,1,0,1,2,2,141,32,39,235,115,41,25,49,57,123,70,59,35,182,471,47,42,55,303,266,161,128,64,32
"OTU71",8,18,7,4,2,9,5,4,5,7,7,2,52,84,29,155,138,39,25,29,39,26,400,82,1,13,3,0,0,0,8,0,3,5,0,0
"OTU76",1,4,0,0,0,0,2,0,0,0,5,0,64,43,18,88,45,9,10,45,79,396,445,16,0,3,0,0,0,4,4,1,0,5,1,0
"OTU77",751,830,960,226,242,313,361,362,564,861,1057,1004,73,54,36,57,55,22,30,55,62,114,68,52,13,59,76,29,27,17,146,78,88,64,36,10
"OTU74",117,130,154,28,17,13,112,24,19,119,175,128,291,246,29,285,337,28,29,252,242,280,367,229,1,104,56,8,15,66,60,52,44,73,10,8
"OTU75",0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,129,121,62,22,11,447,226,161,132,91,52
"OTU850",0,0,1,0,0,0,1,2,1,4,0,0,1,3,1,1,1,0,0,4,1,1,0,2,0,2,0,1,0,4,3,0,1,3,2,0
